Area_x,Year,Item,Production,ISO3,Area_y,Population,Exports,Imports,Net_Food_Availability_Capita
Afghanistan,1992,Maize (corn),300000.0,AFG,Afghanistan,13278974.0,0,0,22.592106890185942
Afghanistan,1992,Rice,300000.0,AFG,Afghanistan,13278974.0,0,0,22.592106890185942
Afghanistan,1992,Wheat,1650000.0,AFG,Afghanistan,13278974.0,0,0,124.2565878960227
Afghanistan,2002,Maize (corn),298000.0,AFG,Afghanistan,21378117.0,0,0,13.939487748149194
Afghanistan,2002,Rice,388000.0,AFG,Afghanistan,21378117.0,0,0,18.149400155308346
Afghanistan,2002,Wheat,2686000.0,AFG,Afghanistan,21378117.0,0,0,125.6424969514387
Afghanistan,2012,Maize (corn),310000.0,AFG,Afghanistan,30560034.0,0,0,10.143967771763604
Afghanistan,2012,Rice,703000.0,AFG,Afghanistan,30560034.0,0,0,23.003901108225207
Afghanistan,2012,Wheat,5050000.0,AFG,Afghanistan,30560034.0,0,0,165.24850724969744
Afghanistan,2022,Maize (corn),311000.0,AFG,Afghanistan,40578842.0,0,0,7.664092533739627
Afghanistan,2022,Rice,592000.0,AFG,Afghanistan,40578842.0,0,0,14.588883536893439
Afghanistan,2022,Wheat,3802895.0,AFG,Afghanistan,40578842.0,0,0,93.71620313857157
Africa,1992,Maize (corn),28532804.91,ZAF,South Africa,42443509.0,0,0,672.2536751143738
Africa,1992,Maize (corn),28532804.91,ZAF,Africa,678557814.0,0,0,42.04918773509253
Africa,1992,Rice,13968098.56,ZAF,South Africa,42443509.0,0,0,329.09858042133135
Africa,1992,Rice,13968098.56,ZAF,Africa,678557814.0,0,0,20.58497930730483
Africa,1992,Wheat,13283750.42,ZAF,South Africa,42443509.0,0,0,312.9748395685192
Africa,1992,Wheat,13283750.42,ZAF,Africa,678557814.0,0,0,19.57644602409663
Africa,2002,Maize (corn),44959371.0,ZAF,South Africa,48019415.0,0,0,936.2748588253314
Africa,2002,Maize (corn),44959371.0,ZAF,Africa,873411061.0,0,0,51.475614412902424
Africa,2002,Rice,17622207.44,ZAF,South Africa,48019415.0,0,0,366.98088554389926
Africa,2002,Rice,17622207.44,ZAF,Africa,873411061.0,0,0,20.17630440794246
Africa,2002,Wheat,16984239.22,ZAF,South Africa,48019415.0,0,0,353.6952547214496
Africa,2002,Wheat,16984239.22,ZAF,Africa,873411061.0,0,0,19.445871455479537
Africa,2012,Maize (corn),72323875.74,ZAF,South Africa,53782567.0,0,0,1344.7457005910485
Africa,2012,Maize (corn),72323875.74,ZAF,Africa,1128843454.0,0,0,64.06900397369004
Africa,2012,Rice,28941471.95,ZAF,South Africa,53782567.0,0,0,538.1199441447263
Africa,2012,Rice,28941471.95,ZAF,Africa,1128843454.0,0,0,25.638162534802632
Africa,2012,Wheat,24655299.87,ZAF,South Africa,53782567.0,0,0,458.42549445436475
Africa,2012,Wheat,24655299.87,ZAF,Africa,1128843454.0,0,0,21.84120374054984
Africa,2022,Maize (corn),94819000.04,ZAF,South Africa,62378410.0,0,0,1520.0611884785137
Africa,2022,Maize (corn),94819000.04,ZAF,Africa,1446883651.0,0,0,65.5332583061995
Africa,2022,Rice,40108154.29,ZAF,South Africa,62378410.0,0,0,642.981350278085
Africa,2022,Rice,40108154.29,ZAF,Africa,1446883651.0,0,0,27.72037285947604
Africa,2022,Wheat,26115468.87,ZAF,South Africa,62378410.0,0,0,418.661983689549
Africa,2022,Wheat,26115468.87,ZAF,Africa,1446883651.0,0,0,18.049460198095776
Albania,1992,Maize (corn),156063.0,ALB,Albania,3282501.0,0,0,47.54393067968601
Albania,1992,Rice,960.0,ALB,Albania,3282501.0,0,0,0.2924599261355899
Albania,1992,Wheat,251862.0,ALB,Albania,3282501.0,0,0,76.72868949621036
Albania,2002,Maize (corn),197300.0,ALB,Albania,3134092.0,0,0,62.952842481969256
Albania,2002,Rice,0.0,ALB,Albania,3134092.0,0,0,0.0
Albania,2002,Wheat,295300.0,ALB,Albania,3134092.0,0,0,94.2218671308947
Albania,2012,Maize (corn),360000.0,ALB,Albania,2910004.0,0,0,123.71117015646713
Albania,2012,Rice,0.0,ALB,Albania,2910004.0,0,0,0.0
Albania,2012,Wheat,300000.0,ALB,Albania,2910004.0,0,0,103.09264179705595
Albania,2022,Maize (corn),401419.0,ALB,Albania,2827608.0,0,0,141.96416193475193
Albania,2022,Rice,0.0,ALB,Albania,2827608.0,0,0,0.0
Albania,2022,Wheat,233145.0,ALB,Albania,2827608.0,0,0,82.45308402013292
Algeria,1992,Maize (corn),662.0,DZA,Algeria,26628568.0,0,0,0.02486051822238432
