ISO3,Year,Weighted_Degree,Betweenness
AFG,1992,210090.41599999976,0
AGO,1992,11431930.253,0
ARE,1992,79418915.11700009,2.655657906493475e-4
ARG,1992,36059089.84699998,0
ATG,1992,101609.18700000005,0
AUS,1992,280519074.932,0.003487925238883713
AUT,1992,131368232.78700012,0
BDI,1992,221663.67000000027,0
BEN,1992,228925.84800000003,0
BFA,1992,302018.80799999996,0
BGD,1992,18699702.753000002,3.3930763383585e-4
BGR,1992,4687417.114999994,0
BHR,1992,3206287.983999998,0
BMU,1992,2190247.498000004,0
BOL,1992,1469056.95,0
BRA,1992,187687846.98700052,8.16149025442143e-4
BRB,1992,362679.03199999995,0
BRN,1992,13051605.465000011,1.556107243201932e-4
BTN,1992,8851.152999999995,0
CAF,1992,82294.96599999999,0
CAN,1992,1046023464.2330012,0.0029283327422826204
CCK,1992,3319.1710000000026,0
CHE,1992,442292869.9440008,0.005053282309948572
CHL,1992,67455575.85000014,5.630290476631624e-4
CHN,1992,523368921.86200154,0.00410915343828547
CIV,1992,4082699.849,0
CMR,1992,2509967.443000003,0
COL,1992,50571661.11600005,8.657696371519096e-4
COM,1992,63788.82499999996,0
CRI,1992,8981256.954999994,0
CUB,1992,3194276.676999996,0
CYM,1992,407613.4770000005,0
CYP,1992,14706578.95800005,2.911790377386185e-4
DEU,1992,2239953552.8219976,0.009757936402948813
DMA,1992,141812.7510000001,0
DNK,1992,226844887.89699984,0.0035047719276263736
DOM,1992,11696782.766000003,0
ECU,1992,21793047.119999953,1.6231043449190335e-4
ESP,1992,541416095.681,0.005724098111351314
FIN,1992,144174013.09500018,0.0017841718465534256
FLK,1992,12795.299000000005,0
FRA,1992,558116027.3869995,0
GAB,1992,5891642.36,0
GBR,1992,481429283.6559995,0
GHA,1992,2278976.1609999994,0
GIB,1992,129455.6590000001,0
GIN,1992,1418841.4790000003,0
GLP,1992,44142.141,0
GNB,1992,58184.43500000001,0
GRC,1992,111937636.2449999,0.0015645101515856684
GRD,1992,65535.636,0
GRL,1992,1621563.9219999993,0
GTM,1992,6709564.619999997,0
GUY,1992,2329390.0670000017,1.3606387802330924e-4
HND,1992,5100757.078,0
HTI,1992,577481.6059999998,0
HUN,1992,64256574.22700003,0.001081716775419015
IDN,1992,206332354.5190005,9.008645712537514e-4
IND,1992,129256337.34599988,0.001083850232077391
IRL,1992,146163042.92900002,0.0019103067698544847
IRQ,1992,201441.867,0
ISL,1992,3636431.5089999973,0
ISR,1992,31375165.00699998,0
ITA,1992,442295722.9189996,0
JAM,1992,11294699.206000034,3.4206589850296204e-4
JOR,1992,2276049.7130000032,0
JPN,1992,1918209080.7989976,0.008893371644868192
KEN,1992,7660226.533999997,2.62692752922825e-4
KWT,1992,9759212.261999996,0
LBN,1992,1149908.674000001,0
LBR,1992,1190877.8879999998,0
LBY,1992,17081617.01799999,0
LKA,1992,18833315.49199998,0.0017147530094225644
MAC,1992,6409136.414999999,0
MAR,1992,11419748.692000017,0
MDG,1992,2305326.8430000017,1.1668375331618994e-4
MDV,1992,272478.94299999985,0
MEX,1992,450624673.9980004,0.0016014628729036418
MLI,1992,741160.7040000001,0
MLT,1992,1779415.9229999995,0
MMR,1992,4863181.3950000005,1.9830557822474886e-4
MOZ,1992,908833.9890000008,0
MRT,1992,922574.5720000003,0
MTQ,1992,19338.92099999999,0
MUS,1992,1863450.358000001,0
MWI,1992,1349163.8029999998,0
MYS,1992,268555682.9210002,0.002292802781284924
NGA,1992,40445743.22899997,0
NIC,1992,918410.6520000008,0
NIU,1992,2666.8969999999995,0
NLD,1992,291168547.95700014,0
NOR,1992,74692969.41300005,0
NPL,1992,1628841.6380000012,0
NRU,1992,193716.33599999998,0
NZL,1992,68909063.12400034,0.00240541157109011
OMN,1992,28035381.242000006,6.615811146915099e-5
PAK,1992,17666521.466999967,0
PAN,1992,6911766.834999991,0
PER,1992,26350499.46999996,5.992729261460533e-4
PHL,1992,40522961.87500001,0
POL,1992,35835457.46299997,0
PRT,1992,174298984.59699956,0.0026630607605921037
PRY,1992,7739431.335999991,2.1455216466245797e-5
REU,1992,21381.816000000017,0
ROU,1992,7582559.209000007,0
RUS,1992,86198475.41999985,0
RWA,1992,160324.43399999995,0
SAU,1992,261633718.11099985,0.0013021884104982401
SEN,1992,898172.049,0
SGP,1992,155684422.1119997,0
SHN,1992,24434.889000000006,0
SLE,1992,578098.7990000002,0
SLV,1992,2252993.4930000007,0
STP,1992,14047.82200000001,0
SUR,1992,650251.6439999999,0
SWE,1992,337555456.4330009,0.005591866866798826
SYC,1992,114202.97199999997,0
SYR,1992,4794424.78999999,0
TCD,1992,299900.34199999983,0
TGO,1992,465694.0299999999,0
THA,1992,250199148.2470002,0.0017665268567061698
TKL,1992,9827.667,0
TON,1992,78498.73699999998,0
TTO,1992,10947264.917000018,3.0010452432596295e-4
TUN,1992,33360478.276000068,2.478998784115556e-4
TZA,1992,987121.5020000004,0
UGA,1992,386623.44599999976,0
UKR,1992,2496655.160000001,0
URY,1992,5022466.889000003,0
USA,1992,3509854263.7319927,0.012647126236915477
VEN,1992,45517557.764000006,0
VGB,1992,89366.99299999994,0
VNM,1992,7498523.619999994,0
