Area_x,Year,Item,Production,ISO3,Area_y,Population,Exports,Imports,Net_Food_Availability_Capita,Weighted_Degree,Betweenness
Afghanistan,1992,Maize (corn),300000,AFG,Afghanistan,13278974,210090.416,0,22.592106890185946,210090.41599999976,0
Afghanistan,1992,Rice,300000,AFG,Afghanistan,13278974,210090.416,0,22.592106890185946,210090.41599999976,0
Afghanistan,1992,Wheat,1650000,AFG,Afghanistan,13278974,210090.416,0,124.2565878960227,210090.41599999976,0
Afghanistan,2002,Maize (corn),298000,AFG,Afghanistan,21378117,288020.7597835707,0,13.939487748149194,288020.7597835705,0
Afghanistan,2002,Rice,388000,AFG,Afghanistan,21378117,288020.7597835707,0,18.149400155308346,288020.7597835705,0
Afghanistan,2002,Wheat,2686000,AFG,Afghanistan,21378117,288020.7597835707,0,125.6424969514387,288020.7597835705,0
Afghanistan,2012,Maize (corn),310000,AFG,Afghanistan,30560034,2572208.0962417307,4395884.606,10.143967771763604,6968092.7022417225,1.6179242022266962e-7
Afghanistan,2012,Rice,703000,AFG,Afghanistan,30560034,2572208.0962417307,4395884.606,23.003901108225207,6968092.7022417225,1.6179242022266962e-7
Afghanistan,2012,Wheat,5050000,AFG,Afghanistan,30560034,2572208.0962417307,4395884.606,165.24850724969744,6968092.7022417225,1.6179242022266962e-7
Afghanistan,2022,Maize (corn),311000,AFG,Afghanistan,40578842,6569470.868926215,0,7.664092533739627,6569470.868926206,0
Afghanistan,2022,Rice,592000,AFG,Afghanistan,40578842,6569470.868926215,0,14.58888353689344,6569470.868926206,0
Afghanistan,2022,Wheat,3802895,AFG,Afghanistan,40578842,6569470.868926215,0,93.71620313857156,6569470.868926206,0
Africa,1992,Maize (corn),28532804.91,ZAF,South Africa,42443509,30944518.009,66890514.723000005,672.2536751143738,97835032.73200002,0.0022227643804222813
Africa,1992,Maize (corn),28532804.91,ZAF,Africa,678557814,30944518.009,66890514.723000005,42.04918773509253,97835032.73200002,0.0022227643804222813
Africa,1992,Rice,13968098.56,ZAF,South Africa,42443509,30944518.009,66890514.723000005,329.09858042133135,97835032.73200002,0.0022227643804222813
Africa,1992,Rice,13968098.56,ZAF,Africa,678557814,30944518.009,66890514.723000005,20.58497930730483,97835032.73200002,0.0022227643804222813
Africa,1992,Wheat,13283750.42,ZAF,South Africa,42443509,30944518.009,66890514.723000005,312.9748395685192,97835032.73200002,0.0022227643804222813
Africa,1992,Wheat,13283750.42,ZAF,Africa,678557814,30944518.009,66890514.723000005,19.57644602409663,97835032.73200002,0.0022227643804222813
Africa,2002,Maize (corn),44959371,ZAF,South Africa,48019415,155650640.4644139,101145982.963,936.2748588253314,256796623.42741337,0.006767507043698139
Africa,2002,Maize (corn),44959371,ZAF,Africa,873411061,155650640.4644139,101145982.963,51.475614412902424,256796623.42741337,0.006767507043698139
Africa,2002,Rice,17622207.44,ZAF,South Africa,48019415,155650640.4644139,101145982.963,366.98088554389926,256796623.42741337,0.006767507043698139
Africa,2002,Rice,17622207.44,ZAF,Africa,873411061,155650640.4644139,101145982.963,20.17630440794246,256796623.42741337,0.006767507043698139
Africa,2002,Wheat,16984239.22,ZAF,South Africa,48019415,155650640.4644139,101145982.963,353.6952547214496,256796623.42741337,0.006767507043698139
Africa,2002,Wheat,16984239.22,ZAF,Africa,873411061,155650640.4644139,101145982.963,19.445871455479537,256796623.42741337,0.006767507043698139
Africa,2012,Maize (corn),72323875.74,ZAF,South Africa,53782567,486787232.57780576,419241912.964282,1344.7457005910485,906029145.5420955,0.005196971127598418
Africa,2012,Maize (corn),72323875.74,ZAF,Africa,1128843454,486787232.57780576,419241912.964282,64.06900397369004,906029145.5420955,0.005196971127598418
Africa,2012,Rice,28941471.95,ZAF,South Africa,53782567,486787232.57780576,419241912.964282,538.1199441447263,906029145.5420955,0.005196971127598418
Africa,2012,Rice,28941471.95,ZAF,Africa,1128843454,486787232.57780576,419241912.964282,25.638162534802632,906029145.5420955,0.005196971127598418
Africa,2012,Wheat,24655299.87,ZAF,South Africa,53782567,486787232.57780576,419241912.964282,458.4254944543647,906029145.5420955,0.005196971127598418
Africa,2012,Wheat,24655299.87,ZAF,Africa,1128843454,486787232.57780576,419241912.964282,21.84120374054984,906029145.5420955,0.005196971127598418
Africa,2022,Maize (corn),94819000.04,ZAF,South Africa,62378410,611491779.7101192,450969503.440033,1520.0611884785137,1062461283.150152,0.003591210304203978
Africa,2022,Maize (corn),94819000.04,ZAF,Africa,1446883651,611491779.7101192,450969503.440033,65.5332583061995,1062461283.150152,0.003591210304203978
Africa,2022,Rice,40108154.29,ZAF,South Africa,62378410,611491779.7101192,450969503.440033,642.981350278085,1062461283.150152,0.003591210304203978
Africa,2022,Rice,40108154.29,ZAF,Africa,1446883651,611491779.7101192,450969503.440033,27.72037285947604,1062461283.150152,0.003591210304203978
Africa,2022,Wheat,26115468.87,ZAF,South Africa,62378410,611491779.7101192,450969503.440033,418.661983689549,1062461283.150152,0.003591210304203978
Africa,2022,Wheat,26115468.87,ZAF,Africa,1446883651,611491779.7101192,450969503.440033,18.049460198095776,1062461283.150152,0.003591210304203978
Albania,1992,Maize (corn),156063,ALB,Albania,3282501,234342.221,0,47.54393067968601,234342.22100000008,0
Albania,1992,Rice,960,ALB,Albania,3282501,234342.221,0,0.2924599261355899,234342.22100000008,0
Albania,1992,Wheat,251862,ALB,Albania,3282501,234342.221,0,76.72868949621036,234342.22100000008,0
Albania,2002,Maize (corn),197300,ALB,Albania,3134092,1544317.0745725662,6013971.877,62.952842481969256,7558288.9515725495,6.223979358844975e-5
Albania,2002,Rice,0,ALB,Albania,3134092,1544317.0745725662,6013971.877,0,7558288.9515725495,6.223979358844975e-5
Albania,2002,Wheat,295300,ALB,Albania,3134092,1544317.0745725662,6013971.877,94.2218671308947,7558288.9515725495,6.223979358844975e-5
Albania,2012,Maize (corn),360000,ALB,Albania,2910004,7838359.115432763,18348435.59,123.71117015646712,26186794.705432724,1.6516363061243468e-4
Albania,2012,Rice,0,ALB,Albania,2910004,7838359.115432763,18348435.59,0,26186794.705432724,1.6516363061243468e-4
Albania,2012,Wheat,300000,ALB,Albania,2910004,7838359.115432763,18348435.59,103.09264179705596,26186794.705432724,1.6516363061243468e-4
Albania,2022,Maize (corn),401419,ALB,Albania,2827608,16924611.753152262,16189536.727174,141.96416193475193,33114148.480326246,8.056356918493575e-5
Albania,2022,Rice,0,ALB,Albania,2827608,16924611.753152262,16189536.727174,0,33114148.480326246,8.056356918493575e-5
Albania,2022,Wheat,233145,ALB,Albania,2827608,16924611.753152262,16189536.727174,82.45308402013292,33114148.480326246,8.056356918493575e-5
Algeria,1992,Maize (corn),662,DZA,Algeria,26628568,19711789.198,35920115.239,0.02486051822238432,55631904.43699995,3.6915790683865934e-4
Algeria,1992,Rice,1410.14,DZA,Algeria,26628568,19711789.198,35920115.239,0.05295590810591091,55631904.43699995,3.6915790683865934e-4
Algeria,1992,Wheat,1836750,DZA,Algeria,26628568,19711789.198,35920115.239,68.97667197124532,55631904.43699995,3.6915790683865934e-4
Algeria,2002,Maize (corn),837,DZA,Algeria,31750835,60778170.03752825,50725306.766,0.02636151143741574,111503476.80352841,2.2118681664674348e-4
Algeria,2002,Rice,400.24,DZA,Algeria,31750835,60778170.03752825,50725306.766,0.01260565273322733,111503476.80352841,2.2118681664674348e-4
Algeria,2002,Wheat,1501803,DZA,Algeria,31750835,60778170.03752825,50725306.766,47.29963794652959,111503476.80352841,2.2118681664674348e-4
Algeria,2012,Maize (corn),1755,DZA,Algeria,37646166,253643048.74039957,208725347.251,0.04661829308195687,462368395.99139774,2.2911915465120893e-4
Algeria,2012,Rice,300,DZA,Algeria,37646166,253643048.74039957,208725347.251,0.00796893898836869,462368395.99139774,2.2911915465120893e-4
Algeria,2012,Wheat,3432231,DZA,Algeria,37646166,253643048.74039957,208725347.251,91.17079810995892,462368395.99139774,2.2911915465120893e-4
Algeria,2022,Maize (corn),11000,DZA,Algeria,45477389,228101613.57154214,0,0.24187844205391823,228101613.57154223,0
Algeria,2022,Rice,307.49,DZA,Algeria,45477389,228101613.57154214,0,0.00676138201337812,228101613.57154223,0
Algeria,2022,Wheat,3000000,DZA,Algeria,45477389,228101613.57154214,0,65.9668478328868,228101613.57154223,0
Americas,1992,Maize (corn),312078090.26,NA,"Ascension, Saint Helena and Tristan da Cunha",6524,0,0,47835390.90435316,0,0
Americas,1992,Maize (corn),312078090.26,NA,Belgium-Luxembourg,10437950,0,0,29898.408237249652,0,0
Americas,1992,Maize (corn),312078090.26,NA,Bolivia (Plurinational State of),7430336,0,0,42000.53540782005,0,0
Americas,1992,Maize (corn),312078090.26,NA,"China, Hong Kong SAR",5759556,0,0,54184.40071769421,0,0
Americas,1992,Maize (corn),312078090.26,NA,"China, Macao SAR",372248,0,0,838360.6903462207,0,0
Americas,1992,Maize (corn),312078090.26,NA,"China, mainland",1184574237,0,0,263.4516947205901,0,0
Americas,1992,Maize (corn),312078090.26,NA,"China, Taiwan Province of",20982088,0,0,14873.54786902047,0,0
Americas,1992,Maize (corn),312078090.26,NA,CÃ´te d'Ivoire,13200310,0,0,23641.7243428374,0,0
Americas,1992,Maize (corn),312078090.26,NA,Czechoslovakia,15618884,0,0,19980.818748637867,0,0
Americas,1992,Maize (corn),312078090.26,NA,Democratic Republic of the Congo,39228910,0,0,7955.308731749111,0,0
Americas,1992,Maize (corn),312078090.26,NA,Ethiopia PDR,53652496,0,0,5816.6555803853,0,0
Americas,1992,Maize (corn),312078090.26,NA,Iran (Islamic Republic of),61184983,0,0,5100.566756061696,0,0
Americas,1992,Maize (corn),312078090.26,NA,Micronesia (Federated States of),104806,0,0,2977673.8951968397,0,0
Americas,1992,Maize (corn),312078090.26,NA,Netherlands (Kingdom of the),15276785,0,0,20428.257009573677,0,0
Americas,1992,Maize (corn),312078090.26,NA,Netherlands Antilles (former),234523,0,0,1330692.89690137,0,0
Americas,1992,Maize (corn),312078090.26,NA,RÃ©union,676420,0,0,461367.331332604,0,0
Americas,1992,Maize (corn),312078090.26,NA,Serbia and Montenegro,8485828,0,0,36776.386495224746,0,0
Americas,1992,Maize (corn),312078090.26,NA,Sudan (former),27837104,0,0,11210.867705922285,0,0
Americas,1992,Maize (corn),312078090.26,NA,TÃ¼rkiye,57990118,0,0,5381.573637425604,0,0
Americas,1992,Maize (corn),312078090.26,NA,United States Virgin Islands,104418,0,0,2988738.438391848,0,0
Americas,1992,Maize (corn),312078090.26,NA,Venezuela (Bolivarian Republic of),20780948,0,0,15017.509800804082,0,0
Americas,1992,Maize (corn),312078090.26,NA,Wallis and Futuna Islands,13778,0,0,22650463.80171287,0,0
Americas,1992,Maize (corn),312078090.26,NA,World,5505989092,0,0,56.6797509122272,0,0
Americas,1992,Maize (corn),312078090.26,NA,Eastern Africa,202805020,0,0,1538.8085080931428,0,0
Americas,1992,Maize (corn),312078090.26,NA,Middle Africa,77389188,0,0,4032.579980810756,0,0
Americas,1992,Maize (corn),312078090.26,NA,Northern Africa,154672602,0,0,2017.6688451908244,0,0
Americas,1992,Maize (corn),312078090.26,NA,Southern Africa,48101554,0,0,6487.900375526329,0,0
Americas,1992,Maize (corn),312078090.26,NA,Western Africa,195589449,0,0,1595.577327179852,0,0
Americas,1992,Maize (corn),312078090.26,NA,Americas,746446434,0,0,418.0850440769873,0,0
Americas,1992,Maize (corn),312078090.26,NA,Northern America,288226643,0,0,1082.7524028026792,0,0
Americas,1992,Maize (corn),312078090.26,NA,Central America,116817718,0,0,2671.4962045397942,0,0
Americas,1992,Maize (corn),312078090.26,NA,Caribbean,35016035,0,0,8912.433696733511,0,0
Americas,1992,Maize (corn),312078090.26,NA,South America,306386038,0,0,1018.578040622073,0,0
Americas,1992,Maize (corn),312078090.26,NA,Asia,3325622564,0,0,93.84050181709075,0,0
Americas,1992,Maize (corn),312078090.26,NA,Central Asia,53012114,0,0,5886.920303913932,0,0
Americas,1992,Maize (corn),312078090.26,NA,Eastern Asia,1404715566,0,0,222.1646131171298,0,0
Americas,1992,Maize (corn),312078090.26,NA,Southern Asia,1255085374,0,0,248.6508860073769,0,0
Americas,1992,Maize (corn),312078090.26,NA,South-eastern Asia,457512308,0,0,682.119551328005,0,0
Americas,1992,Maize (corn),312078090.26,NA,Western Asia,155297203,0,0,2009.553837618054,0,0
Americas,1992,Maize (corn),312078090.26,NA,Europe,727615967,0,0,428.904950432458,0,0
Americas,1992,Maize (corn),312078090.26,NA,Eastern Europe,311608425,0,0,1001.5072290166736,0,0
Americas,1992,Maize (corn),312078090.26,NA,Northern Europe,92819819,0,0,3362.192402680725,0,0
Americas,1992,Maize (corn),312078090.26,NA,Southern Europe,144204848,0,0,2164.1303644659715,0,0
Americas,1992,Maize (corn),312078090.26,NA,Western Europe,178982876,0,0,1743.6198212615602,0,0
Americas,1992,Maize (corn),312078090.26,NA,Oceania,27746313,0,0,11247.551711104825,0,0
Americas,1992,Maize (corn),312078090.26,NA,Australia and New Zealand,21081533,0,0,14803.38693870128,0,0
Americas,1992,Maize (corn),312078090.26,NA,Melanesia,5645931,0,0,55274.86791106728,0,0
Americas,1992,Maize (corn),312078090.26,NA,European Union (27),407244710,0,0,766.3158847661889,0,0
Americas,1992,Maize (corn),312078090.26,NA,Least Developed Countries (LDCs),547033343,0,0,570.491898260761,0,0
Americas,1992,Maize (corn),312078090.26,NA,Land Locked Developing Countries (LLDCs),226498971,0,0,1377.834472634315,0,0
Americas,1992,Maize (corn),312078090.26,NA,Small Island Developing States (SIDS),50316232,0,0,6202.334273758814,0,0
Americas,1992,Maize (corn),312078090.26,NA,Low Income Food Deficit Countries (LIFDCs),475832762,0,0,655.8566689445398,0,0
Americas,1992,Maize (corn),312078090.26,NA,Net Food Importing Developing Countries (NFIDCs),910976608,0,0,342.57530601707833,0,0
Americas,1992,Rice,26883328,NA,"Ascension, Saint Helena and Tristan da Cunha",6524,0,0,4120681.790312691,0,0
Americas,1992,Rice,26883328,NA,Belgium-Luxembourg,10437950,0,0,2575.5371504941104,0,0
Americas,1992,Rice,26883328,NA,Bolivia (Plurinational State of),7430336,0,0,3618.050112404069,0,0
