Area_x,Year,Item,Production,ISO3,Area_y,Population,Exports,Imports,Net_Food_Availability_Capita,Weighted_Degree,Betweenness,Production_Shocked,Ratio,Imports_Shocked,Exports_Shocked,Availability_After_Shock,Deficit_kg_per_capita,Percent_Drop
Afghanistan,2022,Maize (corn),311000,AFG,Afghanistan,40578842,6569470.868926215,0,7.664092533739627,6569470.868926206,0,311000,0.9998248861842252,0,6569470.868926215,-154.22990308412977,-161.8939956178694,-21.123700543171108
Afghanistan,2022,Rice,592000,AFG,Afghanistan,40578842,6569470.868926215,0,14.58888353689344,6569470.868926206,0,592000,0.9998248861842252,0,6569470.868926215,-147.30511208097596,-161.8939956178694,-11.097079170483468
Afghanistan,2022,Wheat,3802895,AFG,Afghanistan,40578842,6569470.868926215,0,93.71620313857156,6569470.868926206,0,3802895,0.9998248861842252,0,6569470.868926215,-68.17779247929784,-161.8939956178694,-1.7274920472235535
Africa,2022,Maize (corn),94819000.04,ZAF,South Africa,62378410,611491779.7101192,450969503.440033,1520.0611884785137,1062461283.150152,0.003591210304203978,94819000.04,0.9998248861842252,450890532.44948757,611491779.7101192,-1054.5675534312547,-2574.6287419097685,-1.6937665150748378
Africa,2022,Maize (corn),94819000.04,ZAF,Africa,1446883651,611491779.7101192,450969503.440033,65.5332583061995,1062461283.150152,0.003591210304203978,94819000.04,0.9998248861842252,450890532.44948757,611491779.7101192,-45.4647802365912,-110.99803854279071,-1.693766515074838
Africa,2022,Rice,40108154.29,ZAF,South Africa,62378410,611491779.7101192,450969503.440033,642.981350278085,1062461283.150152,0.003591210304203978,40108154.29,0.9998248861842252,450890532.44948757,611491779.7101192,-1931.6473916316825,-2574.6287419097675,-4.004204384460387
Africa,2022,Rice,40108154.29,ZAF,Africa,1446883651,611491779.7101192,450969503.440033,27.72037285947604,1062461283.150152,0.003591210304203978,40108154.29,0.9998248861842252,450890532.44948757,611491779.7101192,-83.27766568331461,-110.99803854279065,-4.004204384460386
Africa,2022,Wheat,26115468.87,ZAF,South Africa,62378410,611491779.7101192,450969503.440033,418.661983689549,1062461283.150152,0.003591210304203978,26115468.87,0.9998248861842252,450890532.44948757,611491779.7101192,-2155.9667582202187,-2574.6287419097675,-6.149659730793554
Africa,2022,Wheat,26115468.87,ZAF,Africa,1446883651,611491779.7101192,450969503.440033,18.049460198095776,1062461283.150152,0.003591210304203978,26115468.87,0.9998248861842252,450890532.44948757,611491779.7101192,-92.9485783446949,-110.99803854279067,-6.149659730793555
Albania,2022,Maize (corn),401419,ALB,Albania,2827608,16924611.753152262,16189536.727174,141.96416193475193,33114148.480326246,8.056356918493575e-5,401419,0.9998248861842252,16186701.715622079,16924611.753152262,-119.00201072078725,-260.9661726555392,-1.838253888157222
